"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"417";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:41:50"
"418";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:42:41"
"419";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:43:18"
"420";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:44:37"
"421";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:45:13"
"422";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:45:50"
"423";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:46:34"
"424";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:47:23"
"425";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:48:00"
"426";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:48:35"
"427";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:49:21"
"428";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:50:00"
"429";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:51:04"
"430";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 14:51:56"
"431";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:52:54"
"432";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"04.09.2018 15:10:43"
"433";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:54:45"
"434";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 14:57:30"
"435";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"04.09.2018 15:10:53"
"436";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 15:01:01"
"437";"р. Тобол, с. Иевлево, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"21.05.2018";"13.07.2018 15:01:45"
"438";"р. Тобол, с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.06.2018";"13.07.2018 15:02:17"
"439";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:01:15"
"440";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:01:58"
"441";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:02:21"
"442";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:03:00"
"443";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:04:04"
"444";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:04:39"
"445";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:05:10"
"446";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:08:49"
"447";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:09:25"
"448";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:11:34"
"449";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:12:18"
"450";"р. Тобол, с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.07.2018";"04.09.2018 15:12:50"
"451";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:02:55"
"452";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:03:49"
"453";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:06:27"
"454";"р. Тура, в створе с. Покровское, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:08:12"
"455";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:08:58"
"456";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:09:43"
"457";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:10:22"
"458";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:10:54"
"459";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:11:23"
"460";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:12:13"
"461";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:12:48"
"462";"р. Тобол, с. Иевлево, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"20.08.2018";"08.11.2018 12:13:24"
"463";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:14:07"
"464";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:14:49"
"465";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:15:18"
"466";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:15:56"
"467";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:16:51"
"468";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:17:28"
"469";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:18:07"
"470";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:18:41"
"471";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.09.2018";"08.11.2018 12:19:21"
"472";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:06:24"
"473";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:07:08"
"474";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:07:42"
"475";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:08:38"
"476";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:09:13"
"477";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:09:41"
"478";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:10:34"
"479";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:11:21"
"480";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"19.10.2018";"23.01.2019 15:11:55"
"481";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:15:15"
"482";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:15:52"
"483";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:16:29"
"484";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:21:40"
"485";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:23:55"
"486";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:24:28"
"487";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:26:01"
"488";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:26:38"
"489";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"В пределах нормы";" ";" ";" ";" ";" ";"19.11.2018";"23.01.2019 15:27:14"
"490";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"В пределах нормы";" ";" ";" ";"35,52";" ";"20.12.2018";"16.12.2020 14:10:28"
"491";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"В пределах нормы";"В пределах нормы";"38,68";"Выше нормы";"21.01.2019";"16.12.2020 14:11:23"
"492";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"Выше ПДК";"54,66";"В пределах нормы";"20.02.2019";"16.12.2020 14:11:44"
"493";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 10:27:03"
"494";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.01.2019";"18.06.2020 16:48:43"
"495";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"Выше ПДК";"46,64";"В пределах нормы";"20.02.2019";"16.12.2020 14:12:02"
"496";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"В пределах нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 10:29:08"
"497";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"В пределах нормы";"В пределах нормы";"32,88";"В пределах нормы";"21.01.2019";"16.12.2020 14:11:03"
"498";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"Выше ПДК";"52,28";"Выше нормы";"20.02.2019";"16.12.2020 14:12:21"
"499";"р. Тура, в створе с. Покровское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"57,19";"В пределах нормы";"20.02.2019";"16.12.2020 14:12:46"
"500";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 11:09:36"
"501";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.01.2019";"18.06.2020 16:53:03"
"502";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2019";"18.06.2020 17:07:08"
"503";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 11:11:18"
"504";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.01.2019";"18.06.2020 16:53:28"
"505";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2019";"18.06.2020 17:07:38"
"506";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 11:12:57"
"507";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.01.2019";"18.06.2020 16:53:53"
"508";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2019";"18.06.2020 17:08:00"
"509";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2019";"18.06.2020 17:08:29"
"510";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 11:20:06"
"511";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.01.2019";"18.06.2020 16:54:12"
"512";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2019";"18.06.2020 17:09:11"
"513";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 11:21:57"
"514";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.01.2019";"18.06.2020 16:55:03"
"515";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2019";"18.06.2020 17:09:37"
"516";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";" ";" ";" ";" ";" ";"20.12.2018";"18.03.2019 11:23:39"
"517";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"21.01.2019";"18.06.2020 16:55:36"
"518";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.02.2019";"18.06.2020 17:10:04"
"519";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.05.2020";"23.07.2020 11:44:00"
"520";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.05.2020";"23.07.2020 11:45:52"
"521";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.05.2020";"23.07.2020 11:47:42"
"522";"р. Ишим, в створе с. Ильинское, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.05.2020";"23.07.2020 12:10:57"
"523";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"В пределах нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.05.2020";"23.07.2020 12:12:36"
"524";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.05.2020";"23.07.2020 12:14:04"
